Nome completo do funcionário,Data de nascimento do funcionário,CPF do funcionário,Matrícula do funcionário,Cargo do funcionário,Setor de trabalho do funcionário,Data de início da ausência,Data de término da ausência,Total de dias de ausência,Código Internacional de Doenças (CID),Nome da doença (descrição do CID),Data da consulta médica,CRM do médico responsável,Nome do médico responsável,Local da consulta médica (hospital/clínica),Tipo de atendimento (ambulatorial/internação),Tipo de ausência (afastamento total/parcial),Laudo médico (sim/não),Tipo de laudo (perícia/consulta),Tratamento recomendado (medicação/repouso/outro),Data da emissão do atestado,Data de recebimento do atestado pelo RH,Histórico de ausências médicas anteriores,Horário da consulta médica,Regime de trabalho (CLT/Estatutário),Data de retorno ao trabalho prevista,Data de retorno ao trabalho efetiva,Tipo de vínculo empregatício (efetivo/temporário),Justificativa do médico para o afastamento,Status da análise do pedido de ausência (aprovado/pendente/rejeitado)
Emanuella Ramos,1998-10-28,562.890.734-00,793,Marketeiro,iusto,2024-01-20,2024-06-01,15,C0016,non,2024-05-01,92998-P,Kaique Ferreira,Barros da Mota S/A,internação,afastamento total,não,consulta,outro,2024-03-18,2024-02-11,5,15:19:01,Estatutário,2024-05-14,2024-03-04,temporário,Sit eos cupiditate perspiciatis error.,aprovado
Sophie Ramos,1995-12-22,097.854.216-94,78003,Ferramenteiro,recusandae,2024-03-12,2024-05-26,14,B0072,architecto,2024-03-30,80364-S,Dr. Eduardo Novaes,Campos Duarte S/A,internação,afastamento total,sim,perícia,medicação,2024-05-21,2024-05-17,2,18:31:21,CLT,2024-05-31,2024-03-14,temporário,Dignissimos qui iste aspernatur.,rejeitado
Srta. Isadora Novaes,1969-02-11,715.348.069-20,63012,Representante comercial,magnam,2024-05-18,2024-05-01,16,B001,rem,2024-01-26,92904-P,Isis da Luz,da Rosa,ambulatorial,afastamento total,não,consulta,medicação,2024-02-19,2024-04-29,4,05:42:36,CLT,2024-02-08,2024-03-29,temporário,Temporibus nesciunt nobis ipsum nostrum tempore aspernatur.,rejeitado
Davi Lucas Rodrigues,1971-02-28,968.504.213-60,39642,Impressor,quisquam,2024-05-29,2024-04-17,17,D0014,similique,2024-06-11,42981-S,Guilherme Moura,Rezende,ambulatorial,afastamento parcial,sim,perícia,repouso,2024-01-02,2024-05-07,5,09:31:15,Estatutário,2024-06-02,2024-04-11,efetivo,In aperiam vero a vel adipisci iusto.,rejeitado
Dra. Alice da Rocha,2000-01-31,456.309.817-57,21455,Piloto de avião,architecto,2024-04-19,2024-03-21,12,B0047,consectetur,2024-03-18,10629-S,Gustavo Henrique Gomes,Pereira,internação,afastamento total,não,perícia,medicação,2024-02-24,2024-01-12,2,07:47:10,CLT,2024-01-09,2024-03-21,temporário,Quia praesentium laboriosam fuga.,aprovado
Enzo Gabriel Cardoso,1982-08-01,953.206.187-86,57837,Copeiro,vero,2024-02-12,2024-05-10,19,B0071,nesciunt,2024-02-05,22028-P,Sra. Ana Sophia Lopes,Vieira S.A.,internação,afastamento total,não,perícia,medicação,2024-02-21,2024-03-25,0,01:51:32,Estatutário,2024-05-27,2024-04-10,efetivo,Culpa unde blanditiis possimus optio impedit.,aprovado
Nicole Monteiro,1966-06-15,198.567.034-84,32029,Jogador de boliche,debitis,2024-06-08,2024-03-14,29,D0056,sequi,2024-05-26,34174-P,Sr. Theo Pereira,da Cruz,ambulatorial,afastamento parcial,não,consulta,outro,2024-01-01,2024-04-21,1,21:24:46,Estatutário,2024-01-20,2024-05-28,temporário,Fuga incidunt nam temporibus.,rejeitado
Noah Martins,1991-01-08,798.250.364-00,86278,Tecnólogo em irrigação e drenagem,minima,2024-02-29,2024-06-10,9,D0055,beatae,2024-04-21,12763-S,Srta. Vitória Farias,Lopes Gomes - ME,internação,afastamento total,não,consulta,medicação,2024-04-13,2024-02-20,1,06:40:34,CLT,2024-05-04,2024-04-10,efetivo,Sit est aspernatur numquam laborum similique aliquid.,rejeitado
Fernando Caldeira,1990-04-15,302.985.714-04,74378,Tapeceiro,necessitatibus,2024-02-05,2024-04-23,2,B0026,facere,2024-03-22,74841-S,Maria Alice Duarte,Ramos,ambulatorial,afastamento parcial,não,consulta,medicação,2024-05-22,2024-01-11,0,17:47:31,CLT,2024-04-07,2024-05-24,temporário,Cupiditate tenetur nobis.,rejeitado
Melissa da Mota,1961-04-24,432.106.598-42,29170,Crítico,sint,2024-01-19,2024-03-19,3,B0031,perspiciatis,2024-01-20,12962-S,Ana Júlia Aragão,Costa Vieira - ME,internação,afastamento total,não,consulta,medicação,2024-03-09,2024-04-25,0,21:01:08,CLT,2024-02-13,2024-06-14,temporário,Eos mollitia officiis eveniet numquam a libero beatae.,rejeitado
Evelyn Dias,1985-12-04,064.891.527-11,76350,Ministro,perferendis,2024-05-16,2024-02-20,22,D0095,quia,2024-05-06,73039-S,Heloísa Pereira,Lima,internação,afastamento parcial,sim,consulta,repouso,2024-01-28,2024-06-10,0,16:58:04,Estatutário,2024-03-28,2024-01-16,efetivo,Autem iusto quo repellendus maxime.,pendente
Stephany da Cunha,1970-03-21,367.450.891-57,39989,Afiador de ferramentas,nulla,2024-03-05,2024-02-25,2,B0020,eius,2024-03-17,47584-P,Dr. Pedro Lucas Silveira,Moraes,internação,afastamento total,não,perícia,outro,2024-05-27,2024-06-03,1,23:00:57,Estatutário,2024-04-28,2024-03-20,temporário,Inventore quam molestias quasi atque ea.,pendente
Isabella Martins,1971-06-11,680.249.537-65,69844,Ortesista,est,2024-05-18,2024-05-08,23,B0021,tempore,2024-01-12,86001-P,João Miguel Moreira,Correia Castro S/A,internação,afastamento total,sim,consulta,outro,2024-01-25,2024-04-26,2,00:53:57,CLT,2024-05-17,2024-01-29,temporário,Modi beatae possimus officia inventore inventore.,pendente
Danilo Rodrigues,2001-09-02,723.416.980-69,72188,Sociólogo,voluptatibus,2024-03-21,2024-05-07,21,D004,in,2024-04-01,18310-P,Leonardo Fernandes,Silveira,internação,afastamento total,não,perícia,medicação,2024-03-24,2024-03-31,3,14:20:13,Estatutário,2024-02-04,2024-02-21,efetivo,Delectus quidem reprehenderit.,pendente
Mirella da Luz,1999-06-20,021.743.869-50,81627,Portuário,nobis,2024-02-12,2024-06-16,7,A0044,laboriosam,2024-03-13,47126-P,André da Mota,Moreira,ambulatorial,afastamento total,não,consulta,medicação,2024-03-12,2024-06-04,0,12:39:19,Estatutário,2024-01-15,2024-05-27,efetivo,Sunt sint deserunt sint a illum corporis.,rejeitado
Manuela Peixoto,2000-02-14,240.789.356-56,31894,Coach,modi,2024-06-03,2024-01-17,21,B0029,dolores,2024-05-25,11546-S,Eduardo Campos,Farias,internação,afastamento parcial,não,consulta,outro,2024-06-11,2024-05-20,4,00:03:02,Estatutário,2024-06-15,2024-04-06,temporário,Qui sapiente quaerat assumenda maxime aliquam.,rejeitado
Ana da Luz,1965-04-27,936.580.427-29,55179,Limpador de vidros,modi,2024-02-20,2024-02-13,13,B0061,animi,2024-06-08,10870-S,Augusto Cunha,Fogaça,internação,afastamento parcial,sim,consulta,repouso,2024-03-06,2024-02-25,4,08:37:21,CLT,2024-02-26,2024-01-27,temporário,Illum asperiores necessitatibus enim fugiat doloremque.,rejeitado
Lívia Nogueira,1978-06-03,240.185.963-24,61362,Engenheiro de ergonomia,voluptatem,2024-01-10,2024-05-18,11,D0062,ea,2024-02-25,33311-P,Heitor Teixeira,Costela da Rocha e Filhos,internação,afastamento parcial,não,consulta,medicação,2024-03-07,2024-03-19,5,20:45:57,Estatutário,2024-05-23,2024-05-11,efetivo,Nesciunt nulla eius saepe vitae.,rejeitado
Pedro Moraes,1971-02-08,369.702.481-78,66815,Psicopedagogo,aliquam,2024-05-21,2024-02-24,23,B0033,quod,2024-06-09,19278-S,Noah Costela,Cunha,internação,afastamento total,não,perícia,outro,2024-02-07,2024-01-27,3,17:08:45,CLT,2024-05-19,2024-02-22,efetivo,Ipsam iusto illo id asperiores ipsum.,pendente
Lara da Cruz,1968-07-10,692.038.174-50,90837,Coveiro/Sepultador,aliquam,2024-01-18,2024-02-07,6,C0034,optio,2024-04-21,34385-P,Augusto Freitas,Rezende,internação,afastamento total,sim,consulta,outro,2024-02-11,2024-06-06,4,18:44:46,CLT,2024-03-06,2024-03-23,temporário,Laudantium iste molestiae.,aprovado
Maria Caldeira,2000-08-26,143.086.279-31,17396,Psiquiatra,natus,2024-03-25,2024-05-22,4,B0056,praesentium,2024-06-07,21214-S,Dr. Raul Lima,Ferreira,ambulatorial,afastamento total,não,consulta,outro,2024-03-05,2024-03-18,5,11:50:07,CLT,2024-02-29,2024-03-13,temporário,Debitis natus repellat optio ipsa assumenda provident.,rejeitado
Dr. Thomas Rezende,1965-06-20,571.692.384-46,11857,Dedetizador,enim,2024-01-10,2024-01-17,5,D0091,illum,2024-03-09,82788-P,Augusto Cardoso,Peixoto da Conceição - EI,internação,afastamento parcial,sim,perícia,outro,2024-06-01,2024-03-14,1,00:03:49,CLT,2024-03-13,2024-04-10,efetivo,Eos velit pariatur ipsa perspiciatis.,pendente
Samuel Dias,2002-10-12,694.315.082-06,89695,Engenheiro sanitarista,quos,2024-06-09,2024-04-15,26,B0094,qui,2024-04-21,44711-P,Lavínia Lopes,Azevedo Pires e Filhos,ambulatorial,afastamento parcial,sim,consulta,outro,2024-06-12,2024-06-14,1,20:52:17,Estatutário,2024-01-15,2024-01-02,temporário,Accusamus necessitatibus repellat a molestias amet quia.,pendente
Thomas Lima,1960-03-20,827.501.346-17,10703,Cambista,quod,2024-02-08,2024-03-21,4,D0012,blanditiis,2024-01-16,40762-P,Dra. Ana Beatriz Alves,Gonçalves,ambulatorial,afastamento total,não,perícia,medicação,2024-02-28,2024-04-16,4,21:37:07,Estatutário,2024-03-30,2024-03-02,temporário,Ipsum iusto laborum dicta.,aprovado
Marcelo Viana,1983-12-31,153.792.604-70,77134,Designer de produto ou desenhista industrial,quisquam,2024-04-28,2024-06-15,8,B0013,recusandae,2024-02-11,42237-S,Sophia Aragão,Ribeiro,ambulatorial,afastamento parcial,sim,perícia,outro,2024-03-23,2024-03-29,5,03:56:05,Estatutário,2024-04-03,2024-01-04,efetivo,Inventore ipsa necessitatibus amet.,rejeitado
Helena Pires,2006-01-12,398.120.567-77,87289,Lamboteiro,totam,2024-02-08,2024-04-14,24,B0088,nostrum,2024-04-07,97439-S,Pedro Aragão,da Cunha Correia e Filhos,internação,afastamento parcial,sim,perícia,outro,2024-03-17,2024-05-14,3,07:50:31,Estatutário,2024-04-06,2024-01-25,efetivo,Aut nesciunt possimus commodi voluptate necessitatibus eius vitae.,pendente
Ana Júlia Costa,1968-05-07,146.257.098-49,94326,Atuário,expedita,2024-04-29,2024-01-20,21,A0073,quod,2024-01-14,47110-S,Dra. Luna Silveira,Monteiro - EI,internação,afastamento parcial,não,consulta,outro,2024-02-06,2024-02-16,3,08:52:45,CLT,2024-03-29,2024-03-01,temporário,Blanditiis ad ipsa eum modi deserunt blanditiis sit.,pendente
Nicole Araújo,1969-08-07,325.914.807-88,15777,Piloto automobilístico,quisquam,2024-02-23,2024-02-28,21,C0097,voluptatibus,2024-01-27,18251-P,Pietro Almeida,Sales,ambulatorial,afastamento total,sim,perícia,medicação,2024-04-17,2024-01-24,2,00:15:33,Estatutário,2024-05-07,2024-02-21,temporário,Assumenda tenetur labore accusantium beatae autem officia.,aprovado
Ana Vitória Porto,1973-04-27,507.631.492-25,2070,Aeronauta,modi,2024-02-14,2024-03-23,4,C004,aperiam,2024-02-06,37263-P,Gabriel Nogueira,Pinto e Filhos,ambulatorial,afastamento total,sim,perícia,medicação,2024-06-14,2024-04-17,4,07:38:14,CLT,2024-05-18,2024-01-03,temporário,Nisi consequatur tenetur culpa et quia odio non.,pendente
Eloah Nogueira,2003-06-28,123.504.968-05,87700,Encarregado de manutenção predial,autem,2024-05-13,2024-04-16,16,C0066,impedit,2024-04-25,90409-S,Pedro Henrique Mendes,Nunes,ambulatorial,afastamento total,não,perícia,outro,2024-01-25,2024-06-02,4,12:06:13,Estatutário,2024-04-06,2024-01-25,temporário,Corrupti dolorum voluptatibus itaque.,rejeitado
Alice da Rocha,1967-08-13,347.905.186-39,49462,Artista plástico,amet,2024-03-23,2024-03-18,24,A0065,deleniti,2024-04-23,22699-P,Daniel Azevedo,das Neves,ambulatorial,afastamento total,não,consulta,medicação,2024-04-13,2024-05-31,1,14:50:53,CLT,2024-05-07,2024-05-11,temporário,Corporis odio perspiciatis quod iusto nulla.,rejeitado
Laura Dias,1963-04-09,734.186.025-17,92726,Tecnólogo em recursos pesqueiros,maiores,2024-01-02,2024-06-12,8,B0011,veniam,2024-04-22,65263-S,Marina Monteiro,Martins,internação,afastamento parcial,não,perícia,repouso,2024-04-27,2024-03-17,3,10:50:35,Estatutário,2024-04-26,2024-06-09,efetivo,Enim a assumenda voluptatem placeat.,rejeitado
Eloah Lopes,1982-04-16,530.962.478-38,92399,Gravurista,facere,2024-03-15,2024-04-29,16,A0071,nulla,2024-02-12,92791-P,Luiz Fernando Nascimento,Oliveira,internação,afastamento total,não,perícia,medicação,2024-05-02,2024-02-23,5,22:31:06,CLT,2024-05-02,2024-03-06,temporário,Ratione animi laborum doloribus autem magnam.,pendente
Marcelo Campos,1962-02-04,148.539.627-19,74849,Bedel,dolore,2024-03-09,2024-03-19,4,D0015,vero,2024-03-11,45952-P,Rafael Fernandes,Souza - ME,internação,afastamento total,sim,perícia,medicação,2024-02-07,2024-03-05,1,23:38:15,Estatutário,2024-02-28,2024-01-09,efetivo,Sint ullam error molestias iste soluta.,pendente
Rebeca Barros,1977-11-19,185.203.769-59,88256,Tecnólogo em irrigação e drenagem,quidem,2024-04-30,2024-03-07,10,D0099,facere,2024-02-27,44618-P,Rafaela Ferreira,Aragão,internação,afastamento total,não,consulta,medicação,2024-03-17,2024-04-08,3,08:44:09,Estatutário,2024-01-24,2024-05-30,temporário,Mollitia illo dolorem nihil soluta corrupti.,rejeitado
Isabel Cavalcanti,2004-03-06,861.304.759-93,1879,Técnico em edificações,cum,2024-02-17,2024-05-04,25,C0047,amet,2024-02-14,36989-S,Natália da Luz,Pires,internação,afastamento total,sim,consulta,medicação,2024-06-15,2024-04-17,5,11:27:53,CLT,2024-06-02,2024-04-18,efetivo,Quisquam necessitatibus accusamus accusamus beatae quidem.,rejeitado
Bernardo da Luz,1988-01-27,389.502.761-86,73587,Cartógrafo,beatae,2024-03-30,2024-05-31,22,A0094,tempora,2024-01-09,41112-S,Mariana Novaes,Fernandes,internação,afastamento parcial,sim,perícia,repouso,2024-02-10,2024-03-22,4,20:03:27,CLT,2024-01-15,2024-03-23,efetivo,Omnis voluptate mollitia ab tempora.,rejeitado
Dra. Raquel Fernandes,1967-02-03,610.923.874-04,21257,Geofísico,repellendus,2024-03-20,2024-06-08,29,C0021,veniam,2024-05-30,33145-S,Maria Alice Alves,Farias,internação,afastamento total,sim,perícia,medicação,2024-01-01,2024-04-30,3,18:38:16,CLT,2024-02-24,2024-03-15,temporário,Consequuntur maiores dolorem ex placeat magnam rerum.,pendente
Rafael Lima,1976-11-14,462.708.519-20,79991,Supervisor,expedita,2024-05-25,2024-04-30,11,C0089,facilis,2024-02-23,15700-S,João Guilherme Caldeira,da Cruz,ambulatorial,afastamento parcial,não,consulta,medicação,2024-04-23,2024-03-03,4,11:31:10,CLT,2024-05-08,2024-04-12,temporário,Assumenda aliquid expedita corrupti.,aprovado
Luiz Otávio Souza,1992-06-23,847.590.213-88,14855,Telefonista,inventore,2024-05-16,2024-05-05,16,C0073,modi,2024-02-15,29233-P,Ana Sophia Gomes,Ferreira,internação,afastamento parcial,não,perícia,outro,2024-04-03,2024-05-25,2,03:05:12,Estatutário,2024-03-13,2024-03-26,efetivo,Rem animi doloribus cum maxime laudantium.,pendente
Yasmin Alves,1963-08-16,934.857.620-83,2327,Manicure,quos,2024-03-28,2024-02-27,20,C0046,officiis,2024-03-22,77424-P,Sofia Dias,Barros S.A.,ambulatorial,afastamento parcial,sim,perícia,outro,2024-03-17,2024-03-20,2,04:08:09,CLT,2024-04-30,2024-04-13,efetivo,Neque soluta eligendi.,rejeitado
Maria Julia Lopes,1977-12-03,924.051.837-14,48560,Mágico,hic,2024-02-21,2024-03-16,18,D0067,iusto,2024-02-02,67194-S,Ana Julia da Rosa,Costa e Filhos,ambulatorial,afastamento parcial,não,consulta,outro,2024-04-09,2024-03-12,2,16:27:53,Estatutário,2024-03-15,2024-04-12,efetivo,Aliquam unde debitis nostrum adipisci voluptate deserunt omnis.,rejeitado
Dr. Heitor da Rosa,1983-07-23,029.146.875-67,50789,Engenheiro químico,eos,2024-01-16,2024-02-25,18,C0026,ipsam,2024-05-24,24462-S,Ana Vitória Araújo,Porto Castro Ltda.,ambulatorial,afastamento parcial,sim,consulta,medicação,2024-02-24,2024-04-23,4,20:59:13,Estatutário,2024-03-02,2024-06-13,temporário,Atque consequatur accusantium sunt.,rejeitado
Sabrina Dias,1976-04-22,685.142.970-58,38906,Florista,eligendi,2024-06-14,2024-02-24,12,B0054,doloribus,2024-04-12,28626-S,Renan Rodrigues,Farias Cavalcanti - EI,ambulatorial,afastamento total,sim,consulta,outro,2024-05-22,2024-03-07,3,08:37:40,Estatutário,2024-05-20,2024-02-11,efetivo,Cumque veritatis itaque ducimus ea excepturi odio.,rejeitado
Sra. Isadora Vieira,1964-02-22,703.216.485-44,14293,Ciclista,fuga,2024-04-07,2024-04-23,21,D0067,animi,2024-01-05,67214-S,Cauê Castro,Melo Cardoso Ltda.,internação,afastamento total,sim,consulta,repouso,2024-06-12,2024-03-10,4,07:25:41,Estatutário,2024-01-23,2024-01-02,efetivo,Ad ipsa veniam qui quibusdam.,rejeitado
Thales Farias,1967-08-29,934.852.071-79,47776,Roteirista,ducimus,2024-01-30,2024-02-17,29,C0089,expedita,2024-01-16,36346-S,Pedro Miguel Dias,Gomes,internação,afastamento parcial,sim,consulta,medicação,2024-05-16,2024-04-21,3,04:44:55,CLT,2024-03-13,2024-01-16,efetivo,Numquam commodi nisi.,rejeitado
Alícia Porto,1970-09-05,376.190.258-12,56650,Maquiador,adipisci,2024-05-05,2024-02-19,24,A0083,quasi,2024-05-16,76009-P,Maria Novaes,Santos,internação,afastamento total,sim,perícia,repouso,2024-03-28,2024-06-07,3,12:26:24,Estatutário,2024-02-08,2024-04-09,efetivo,Itaque alias ullam.,pendente
João Felipe Barbosa,1971-04-16,726.058.439-47,87010,Gerente de banco,pariatur,2024-06-03,2024-02-15,23,D0067,corrupti,2024-05-24,64636-P,Leonardo Sales,Ribeiro Campos S/A,internação,afastamento total,sim,consulta,repouso,2024-02-13,2024-02-16,5,08:05:09,Estatutário,2024-01-25,2024-01-08,efetivo,Dolorem ea molestias sint.,pendente
Bárbara Vieira,1978-10-09,268.309.745-00,22215,Patologista oral,doloremque,2024-05-19,2024-05-23,20,A0077,deleniti,2024-05-05,43627-S,Emilly Moraes,Freitas da Cruz - EI,internação,afastamento total,não,perícia,medicação,2024-01-24,2024-02-07,1,18:10:08,Estatutário,2024-04-01,2024-06-08,efetivo,Consequuntur labore iste facilis repellendus non omnis.,aprovado
Isaac Silva,1997-11-05,837.594.610-93,72377,Babysitter,tempore,2024-03-14,2024-06-04,13,C0041,itaque,2024-02-06,21806-S,Samuel da Mota,Cavalcanti,internação,afastamento parcial,sim,perícia,repouso,2024-06-12,2024-04-05,5,12:35:25,CLT,2024-03-11,2024-03-22,efetivo,Laboriosam recusandae unde nisi tenetur consequuntur.,aprovado
João Miguel Barbosa,1980-08-10,816.934.527-82,88564,Ferreiro,quam,2024-01-17,2024-01-20,9,A0089,aperiam,2024-05-30,56007-S,Srta. Catarina Caldeira,da Paz,internação,afastamento parcial,não,perícia,medicação,2024-01-27,2024-05-24,1,11:37:34,Estatutário,2024-05-23,2024-01-11,efetivo,Placeat unde porro consequuntur ducimus soluta consectetur.,rejeitado
Dra. Nicole Sales,1989-04-13,845.360.129-15,43528,Neurocirurgião,cupiditate,2024-05-09,2024-01-27,1,B0076,eum,2024-01-01,54880-S,Esther Barbosa,Farias S.A.,internação,afastamento parcial,sim,consulta,medicação,2024-06-14,2024-01-19,2,01:42:03,CLT,2024-04-29,2024-03-14,efetivo,Nihil eligendi consectetur aliquam beatae.,pendente
Maria Cecília Lima,1981-01-23,605.724.318-80,58507,Lutador de kung fu,vero,2024-03-08,2024-03-09,13,B0095,qui,2024-04-10,81988-P,Eduarda Moura,da Costa,ambulatorial,afastamento total,não,perícia,outro,2024-02-16,2024-05-10,4,03:19:06,Estatutário,2024-05-09,2024-01-18,efetivo,Adipisci perspiciatis eius sed inventore alias laborum.,rejeitado
Bruna Cunha,1992-06-04,563.204.981-70,75636,Atleta de tiro com arco,eveniet,2024-06-14,2024-01-30,11,D0046,in,2024-02-10,62069-P,Davi Luiz Novaes,Nascimento,ambulatorial,afastamento total,sim,perícia,repouso,2024-03-17,2024-01-19,2,23:48:58,CLT,2024-05-07,2024-05-14,efetivo,Inventore quo nihil quaerat.,aprovado
Kamilly Lopes,1999-06-04,624.581.379-46,29028,Capoeirista,assumenda,2024-05-27,2024-01-01,27,D0054,quae,2024-03-31,20800-P,Enzo Gabriel Barros,Porto - ME,internação,afastamento parcial,sim,consulta,repouso,2024-06-17,2024-03-23,2,21:50:05,CLT,2024-04-13,2024-02-05,temporário,Beatae maiores excepturi dicta.,rejeitado
Bernardo Jesus,1964-05-05,273.804.695-92,63320,Quitandeiro,inventore,2024-02-27,2024-03-02,7,B0077,eveniet,2024-05-23,33763-P,Agatha Barbosa,Pires,internação,afastamento parcial,não,perícia,medicação,2024-05-31,2024-05-01,5,03:21:31,CLT,2024-06-05,2024-02-14,temporário,Ad quas expedita dolores.,pendente
Gustavo Aragão,1978-05-07,297.548.610-30,59385,Empresário,aperiam,2024-04-02,2024-04-16,11,A0039,reprehenderit,2024-01-24,29390-S,Sr. Kaique Silveira,das Neves Melo e Filhos,ambulatorial,afastamento total,sim,perícia,repouso,2024-03-08,2024-06-10,3,08:46:39,CLT,2024-04-30,2024-01-13,efetivo,Voluptates saepe deleniti impedit voluptatibus laudantium.,aprovado
Augusto Fernandes,1973-02-28,480.312.679-87,8217,Jogador de boliche,deserunt,2024-03-24,2024-01-27,12,A006,ipsam,2024-01-30,33803-P,Davi Pinto,Porto da Cruz S/A,internação,afastamento parcial,sim,consulta,repouso,2024-04-27,2024-04-26,3,15:17:44,Estatutário,2024-05-26,2024-04-03,temporário,Accusamus quos in quod laboriosam amet.,aprovado
Luiz Fernando Silva,1978-09-20,584.361.079-93,69467,Síndico,reiciendis,2024-04-26,2024-03-15,1,A001,minima,2024-01-11,38774-S,Dr. Otávio Lima,Porto,ambulatorial,afastamento parcial,não,perícia,outro,2024-03-08,2024-04-23,3,12:02:01,Estatutário,2024-02-04,2024-05-27,efetivo,Quis quae maiores unde ab magnam.,pendente
Luigi Barros,1983-08-16,374.562.098-47,48385,Marcador de luz,quas,2024-06-10,2024-02-05,1,C0061,animi,2024-03-21,44478-S,Melissa Moura,da Cunha,internação,afastamento total,sim,consulta,repouso,2024-05-08,2024-03-12,2,08:16:26,Estatutário,2024-03-16,2024-05-13,efetivo,Dolor amet quidem iusto.,rejeitado
Gabrielly Santos,2003-08-24,054.126.379-06,50016,Major,eveniet,2024-06-02,2024-02-16,9,A006,cum,2024-03-09,76473-P,Esther Moura,Ramos Castro S/A,internação,afastamento total,não,perícia,medicação,2024-02-14,2024-03-17,4,14:31:13,Estatutário,2024-02-16,2024-03-16,temporário,Ducimus eligendi quis animi dolore modi debitis.,pendente
